0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,n_thickness,i_thickness,p_thickness
-0.00011694323999999998,-0.00010838608000000001,-0.00010027675,-9.2608038e-05,-8.536765299999999e-05,-7.8542122e-05,-7.2122252e-05,-6.6094207e-05,-6.0441652e-05,-5.5157962e-05,-5.0226025e-05,-4.5634358e-05,-4.1367527e-05,-3.7409465e-05,-3.3742748e-05,-3.0360253e-05,-2.7245181e-05,-2.4382543e-05,-2.1755689000000002e-05,-1.9354289000000002e-05,-1.7162272e-05,-1.51657e-05,-1.3354218000000001e-05,-1.1714918e-05,-1.0235215e-05,-8.9030135e-06,-7.7080887e-06,-6.641304700000001e-06,-5.6887264e-06,-4.8455702e-06,-4.0997800999999995e-06,-3.4448706e-06,-2.8721262e-06,-2.37301e-06,-1.9416944e-06,-1.5713513999999998e-06,-1.2560075e-06,-9.8988327e-07,-7.6804648e-07,-5.8521217e-07,-4.3707729e-07,-3.1880702e-07,-2.2603972e-07,-1.5485082e-07,-1.0172994e-07,-6.3277377e-08,-3.6623464e-08,-1.9132618e-08,-8.5605483e-09,-2.8971653e-09,-4.5529984000000003e-10,1.527483e-10,7.7861159e-11,3.7095788e-12,6.3331506e-16,2.3040158e-15,8.0396777e-15,2.6280928e-14,7.9398191e-14,2.2236792999999997e-13,5.922883e-13,1.5810678999999998e-12,4.5418055e-12,1.4854905e-11,5.5697449e-11,2.3160317999999998e-10,1.0269137e-09,3.4911384e-09,1.609638e-08,7.428277799999999e-08,3.4299089000000003e-07,1.5839458999999998e-06,7.3098609e-06,3.3607963e-05,0.00015195469999999998,0.00064400693,0.0022868542999999997,0.0061841563,0.01302729,0.022966507,0.035902549,0.051670798,0.070106276,0.091060615,0.11440399999999999,0.14002311,0.16781836,0.19770120000000002,0.22959169,0.2634169,0.29910921,0.33660607,0.37584894,0.41678253,0.45935413,0.50351296,0.54920916,0.59639361,0.64501762,0.69503258,0.74638985,0.79904039,190.967,5.635,243.133
-3.9176617e-05,-3.5851404000000005e-05,-3.2754149e-05,-2.9870578e-05,-2.7200603e-05,-2.4716287000000004e-05,-2.2417697e-05,-2.0294441e-05,-1.8334686e-05,-1.6529735e-05,-1.4869455e-05,-1.3346180999999999e-05,-1.19496e-05,-1.0674553000000001e-05,-9.5094747e-06,-8.450756e-06,-7.4865859e-06,-6.613117e-06,-5.823614e-06,-5.111076099999999e-06,-4.4690469e-06,-3.8926838e-06,-3.3766896e-06,-2.9158272e-06,-2.505971e-06,-2.1425153999999998e-06,-1.8210878e-06,-1.5386631e-06,-1.2916072e-06,-1.0766873999999998e-06,-8.906277900000001e-07,-7.307646300000001e-07,-5.943721500000001e-07,-4.786366e-07,-3.8152062e-07,-3.0028938e-07,-2.3335611e-07,-1.7872379e-07,-1.3460685999999998e-07,-9.9416847e-08,-7.1803502e-08,-5.0542027e-08,-3.4519332e-08,-2.2759527000000005e-08,-1.4374583e-08,-8.5962229e-09,-4.7838882e-09,-2.4030984e-09,-1.0268356e-09,-3.2559067e-10,-4.5780649e-11,1.3124107999999999e-11,5.475549700000001e-12,2.3393386e-13,6.1543117e-17,1.6328182e-16,4.7441818e-16,1.5587110999999998e-15,5.7732385e-15,2.3427372999999997e-14,1.0076371e-13,4.5977838e-13,2.1134828999999997e-12,9.868300999999999e-12,4.6461108e-11,2.181347e-10,1.008524e-09,4.177114999999999e-09,1.9297544e-08,8.917456100000001e-08,4.1211664e-07,1.9042973999999998e-06,8.7916577e-06,4.0434629999999996e-05,0.00018297376,0.00077777159,0.0027799331,0.0075676619,0.015999713999999998,0.028242409,0.044151869,0.06350884400000001,0.08609778,0.11172594,0.14022461,0.17144591,0.20525903,0.24154631,0.28020008,0.32112094,0.364216,0.40939779,0.45658301,0.50569148,0.55664516,0.60936726,0.66378109,0.71980953,0.77737387,0.83639354,0.89678568,0.95846431,206.695,7.002,150.171
-2.5987386000000005e-06,-2.300695e-06,-2.0313097e-06,-1.7884513e-06,-1.5698296000000002e-06,-1.3736386000000001e-06,-1.1980158999999999e-06,-1.0412180999999999e-06,-9.0187197e-07,-7.780483000000001e-07,-6.686539e-07,-5.723014399999999e-07,-4.8774727e-07,-4.1378393e-07,-3.4940353999999997e-07,-2.9355181e-07,-2.4534362e-07,-2.0396156e-07,-1.6854832000000003e-07,-1.3845119e-07,-1.1298359e-07,-9.1586427e-08,-7.3673883e-08,-5.8813144e-08,-4.6565184000000006e-08,-3.6520345e-08,-2.8392737e-08,-2.1849406000000003e-08,-1.6633633e-08,-1.2520135e-08,-9.3080596e-09,-6.8326974e-09,-4.9453454e-09,-3.5279634e-09,-2.4773584e-09,-1.7109875e-09,-1.161108e-09,-7.7350233e-10,-5.0511066e-10,-3.232194e-10,-2.0226349e-10,-1.2371566000000002e-10,-7.3787769e-11,-4.2703278000000004e-11,-2.3762724e-11,-1.2550069e-11,-6.180653599999999e-12,-2.7595878e-12,-1.0575503e-12,-3.0538632e-13,-4.0277995e-14,1.1525391999999999e-14,4.8794040000000004e-15,4.809495099999999e-16,3.0350812e-16,3.8040748e-16,6.5086295999999995e-16,1.6319636e-15,5.5223311e-15,2.2082349e-14,9.5581134e-14,4.2888319000000003e-13,1.9561461e-12,8.9888364e-12,4.1447105e-11,1.914125e-10,8.8462422e-10,4.0553273e-09,1.8813107e-08,8.716074900000001e-08,4.0347582000000004e-07,1.8663452e-06,8.6214583e-06,3.9657771e-05,0.00017949311999999998,0.0007644129300000001,0.0027498184000000004,0.0075604708,0.016127512,0.028651365,0.044991352000000005,0.064921219,0.088216175,0.11467429,0.14411832,0.17639257,0.21135899,0.24889322,0.28888137,0.33121779,0.37580355,0.4225452,0.47135333,0.52214135,0.57482461,0.62931907,0.68554018,0.74340247,0.80281841,0.86369804,0.9259482,0.98947163,176.359,11.452,169.475
-3.9327089e-07,-3.4149335e-07,-2.9543344000000003e-07,-2.5470601e-07,-2.1867314e-07,-1.8698976e-07,-1.5923860999999998e-07,-1.3501274999999999e-07,-1.1394786999999999e-07,-9.5701477e-08,-7.998376e-08,-6.648093e-08,-5.4963882000000004e-08,-4.5190183e-08,-3.6902903e-08,-2.995986e-08,-2.4144702999999997e-08,-1.9331331000000002e-08,-1.5351745000000002e-08,-1.2097086000000002e-08,-9.4529406e-09,-7.3217519e-09,-5.6179899999999995e-09,-4.2683931e-09,-3.2100759999999993e-09,-2.3872166e-09,-1.7551337e-09,-1.2744052e-09,-9.1355049e-10,-6.4591375e-10,-4.5009145e-10,-3.0880925e-10,-2.0839011000000002e-10,-1.3816963e-10,-8.9904174e-11,-5.7340095999999996e-11,-3.5770169e-11,-2.1805318e-11,-1.2967305e-11,-7.5064443e-12,-4.22459e-12,-2.3081905e-12,-1.2214608e-12,-6.2617913e-13,-3.0924841e-13,-1.4622162000000002e-13,-6.4996393e-14,-2.6188079e-14,-9.0726982e-15,-2.3497074999999997e-15,-2.4351473999999997e-16,1.1503169e-16,7.4863719e-17,6.442322700000001e-17,9.593116e-17,1.8303766e-16,4.472823e-16,1.3682885e-15,4.9635593e-15,2.0112547e-14,8.6861049e-14,3.8811038e-13,1.7645595e-12,8.0926788e-12,3.7274518e-11,1.7204518e-10,7.9489642e-10,3.6115884e-09,1.6825826000000002e-08,7.8148098e-08,3.6224491e-07,1.6766182000000001e-06,7.7452814e-06,3.5609807e-05,0.00016091648000000002,0.00068185734,0.0024281969,0.006604875200000001,0.013988796000000001,0.024755626,0.03879753,0.05593081900000001,0.075969643,0.098745592,0.1241103,0.1519334,0.18209956,0.21450553,0.24905746,0.2856688,0.32425899,0.36475259,0.40707824,0.45116768,0.49695497,0.54437565,0.59336554,0.6438606,0.69579651,0.74910807,0.80372888,0.85959078,172.952,14.514,223.855
-3.1224047e-07,-2.6902344e-07,-2.3094921e-07,-1.975281e-07,-1.682822e-07,-1.4278773000000002e-07,-1.2064095e-07,-1.0147847e-07,-8.496547900000001e-08,-7.0799219e-08,-5.8697513e-08,-4.8402873e-08,-3.9693945e-08,-3.2365407000000006e-08,-2.6225252999999996e-08,-2.1119181999999997e-08,-1.6891926e-08,-1.3416357999999999e-08,-1.0580198000000001e-08,-8.2766936e-09,-6.4252699e-09,-4.9428051e-09,-3.7694412e-09,-2.8477792e-09,-2.1296539e-09,-1.5759854e-09,-1.1532631e-09,-8.3406501e-10,-5.95674e-10,-4.1980232000000003e-10,-2.9174571e-10,-1.9964233e-10,-1.3446593999999998e-10,-8.8993821e-11,-5.7852801e-11,-3.793966e-11,-2.431821e-11,-1.4007643e-11,-1.0743558e-11,-4.8162557999999995e-12,-2.7066102000000004e-12,-1.4757453000000002e-12,-7.7767711e-13,-3.9526835e-13,-1.9252727e-13,-8.7547544e-14,-3.3951209e-14,-6.2392546e-15,9.0291547e-15,1.8797948e-14,2.6693548e-14,3.4404265e-14,4.2474999000000003e-14,5.0791526e-14,5.8976298e-14,6.6713597e-14,7.391437599999999e-14,8.0989773e-14,8.9915858e-14,1.0891844000000001e-13,1.7381017e-13,4.4604242000000003e-13,1.664716e-12,7.2336800999999996e-12,3.2866154999999996e-11,1.5117067e-10,6.9780375e-10,3.1730021e-09,1.4791513999999998e-08,6.8684303e-08,3.182235e-07,1.4722901999999999e-06,6.799803400000001e-06,3.1253078999999996e-05,0.00014096968,0.00059280101,0.0020732079,0.0055187236,0.01150949,0.020190487,0.031496111,0.045295912,0.06145252,0.079839468,0.10034477,0.12287008,0.14732881,0.17364403,0.20174637,0.2315728,0.26306531,0.29617056,0.33083904,0.36702442,0.40468298,0.44377318,0.48425488,0.52608914,0.56923789,0.61366365,0.65932952,0.70619892,247.02,15.045,244.374
-1.2637491e-06,-1.1075322e-06,-9.6756326e-07,-8.426434000000001e-07,-7.313967599999999e-07,-6.3262848e-07,-5.452085899999999e-07,-4.6807778000000004e-07,-4.0026903999999993e-07,-3.4088146e-07,-2.8905367e-07,-2.4400301000000003e-07,-2.0499109e-07,-1.7137491e-07,-1.4254362e-07,-1.1790709e-07,-9.6996985e-08,-7.9303539e-08,-6.4436942e-08,-5.2026079e-08,-4.1703659e-08,-3.3196644e-08,-2.6219657000000006e-08,-2.0545218999999997e-08,-1.5960651999999998e-08,-1.2290843999999999e-08,-9.372610999999999e-09,-7.0759733e-09,-5.2855754e-09,-3.9035124e-09,-2.8481248e-09,-2.0514831e-09,-1.457572e-09,-1.0206766e-09,-7.033332900000001e-10,-4.7690478e-10,-3.1751551e-10,-2.0749402e-10,-1.3289156000000001e-10,-8.3313336e-11,-5.1040438e-11,-3.0496098e-11,-1.7701217000000002e-11,-9.9345844e-12,-5.353604e-12,-2.739089e-12,-1.3035415000000002e-12,-5.602199700000001e-13,-2.0502385e-13,-5.5700387e-14,-5.8346187999999996e-15,3.8209232e-15,3.6324484999999996e-15,4.1925352e-15,6.2216267e-15,9.431182499999999e-15,1.4586241000000002e-14,2.3286314e-14,3.9336066e-14,7.4102579e-14,1.5610251e-12,2.9026618e-12,5.8829492e-12,1.4230217000000001e-11,4.421712e-11,1.7044883e-10,7.3862978e-10,3.3509503e-09,1.5412839e-08,7.125120100000001e-08,3.2939821999999997e-07,1.5224546999999998e-06,7.029344e-06,3.2316507e-05,0.00014593206,0.00061598505,0.0021717646,0.005835501999999999,0.012253631000000001,0.021584082,0.033750304,0.048607629000000006,0.066006186,0.085809063,0.10789545,0.13215938,0.15850755,0.18685697,0.21713267,0.24926656,0.28319569,0.31886219,0.35621224,0.39519537,0.43576393,0.47787245,0.52147679,0.56653406,0.61300224,0.66083993,0.71000628,0.76046065,217.377,12.838,241.149
-1.0204158000000001e-06,-8.936663000000001e-07,-7.804232399999999e-07,-6.7952499e-07,-5.8989084e-07,-5.1038761e-07,-4.4026833000000004e-07,-3.7835634000000007e-07,-3.2400967e-07,-2.7647227e-07,-2.350114e-07,-1.9889824e-07,-1.6766086999999999e-07,-1.4071408999999998e-07,-1.1750976e-07,-9.7684496e-08,-8.076242200000001e-08,-6.643287e-08,-5.4307859000000004e-08,-4.4135214000000006e-08,-3.5635941e-08,-2.8577195999999998e-08,-2.2746155e-08,-1.7963741e-08,-1.40691e-08,-1.0922623e-08,-8.3964907e-09,-6.3901066e-09,-4.8071248e-09,-3.5753279999999997e-09,-2.6243291e-09,-1.9011277e-09,-1.3562219e-09,-9.5284349e-10,-6.576587599999999e-10,-4.4586752e-10,-2.9629389e-10,-1.9283838e-10,-1.2272066e-10,-7.626089300000001e-11,-4.618175e-11,-2.7244621999999997e-11,-1.5617714000000002e-11,-8.688473599999999e-12,-4.6634782e-12,-2.3870697999999997e-12,-1.1379788e-12,-4.9061811e-13,-1.8013400999999998e-13,-4.8271365e-14,-4.6153437e-15,2.970865e-15,1.9307804999999997e-15,1.2831477e-15,1.2296448e-15,1.2854402e-15,1.5682707e-15,2.6269253999999995e-15,6.7767091000000006e-15,2.4268997e-14,1.0154736e-13,4.5131157000000003e-13,2.0526645e-12,9.4235786e-12,4.3435838e-11,2.0056306e-10,8.9400095e-10,4.1967633e-09,1.9579305e-08,9.1002016e-08,4.2201619e-07,1.9539061e-06,9.0290623e-06,4.1533093e-05,0.00018801288,0.00080177903,0.0028961736,0.008008304499999999,0.017160197,0.030576105,0.048105753,0.069505343,0.094532336,0.12296854,0.15462206,0.18932394,0.22692391,0.26728619,0.31028593,0.35580669,0.40373895,0.45397861,0.50642545,0.56098181,0.61755144,0.67603774,0.73634286,0.79836696,0.86200712,0.92715662,0.99370393,1.0615313999999998,153.556,12.198,167.834
-8.953682499999999e-06,-7.9986014e-06,-7.1273918000000005e-06,-6.334066299999999e-06,-5.614141e-06,-4.961549900000001e-06,-4.371882900000001e-06,-3.8408156e-06,-3.363238e-06,-2.9352758e-06,-2.5529772999999998e-06,-2.2124513e-06,-1.9102428999999997e-06,-1.6429494e-06,-1.4073711e-06,-1.2005793e-06,-1.0196746999999999e-06,-8.619658100000001e-07,-7.2524179e-07,-6.0711808e-07,-5.055912e-07,-4.1868674e-07,-3.4474205e-07,-2.8210253000000004e-07,-2.2935529000000002e-07,-1.8523577e-07,-1.4848746999999998e-07,-1.1816656e-07,-9.325654099999999e-08,-7.2976519e-08,-5.6592070999999994e-08,-4.3468812e-08,-3.30528e-08,-2.4860154e-08,-1.8484560000000002e-08,-1.3575853e-08,-9.8418316e-09,-7.027169e-09,-4.9405059e-09,-3.4092445e-09,-2.3060026e-09,-1.5241457e-09,-9.815921e-10,-6.1356182e-10,-3.6866662999999996e-10,-2.1125224e-10,-1.1256903e-10,-5.3972525e-11,-2.1859742000000002e-11,-6.5652989e-12,-7.0485752e-13,2.9438466e-13,1.6791613e-13,1.1863618e-12,1.7237688999999998e-12,2.3193782000000003e-12,2.9218751e-12,3.4968591e-12,4.0274093e-12,4.515511900000001e-12,4.9982405999999995e-12,5.6532298e-12,7.32572e-12,1.4008921e-11,4.4360881e-11,1.8500743e-10,8.3400236e-10,3.8544913e-09,1.7818885e-08,8.2379886e-08,3.8080914e-07,1.7600108e-06,8.126472e-06,3.737664e-05,0.00016915218,0.0007196742200000001,0.0025815121,0.0070716769,0.015043818999999998,0.026682458,0.041859986,0.060369766,0.082006227,0.10658478,0.13394361,0.16394089,0.19645120000000002,0.23136202,0.26857077,0.30798259999999994,0.34950913,0.39306733,0.43857829,0.48596621,0.53515752,0.58607978,0.63866048,0.69282704,0.74850576,0.80562164,0.86409775,0.92385446,179.258,9.676,192.587
-6.3028152e-05,-5.7687546000000005e-05,-5.2705684e-05,-4.8064943999999995e-05,-4.3743786e-05,-3.9736552000000004e-05,-3.6023320000000006e-05,-3.2590372e-05,-2.9419264e-05,-2.6496791e-05,-2.3810913999999998e-05,-2.1347954e-05,-1.9090973e-05,-1.7027656e-05,-1.5147807e-05,-1.3438590999999999e-05,-1.1887275e-05,-1.0483055e-05,-9.2148402e-06,-8.0731626e-06,-7.0488508e-06,-6.1319419000000005e-06,-5.3143050000000004e-06,-4.5873444e-06,-3.9430549e-06,-3.3745249999999997e-06,-2.8734182000000003e-06,-2.4349494e-06,-2.0517017e-06,-1.7189879999999999e-06,-1.431466e-06,-1.1843733e-06,-9.7182909e-07,-7.9156539e-07,-6.3835211e-07,-5.0994373e-07,-4.0228226e-07,-3.134256e-07,-2.4057525e-07,-1.8153026999999999e-07,-1.341264e-07,-9.675351600000001e-08,-6.7679376e-08,-4.5613715999999996e-08,-2.9317514e-08,-1.7699955000000002e-08,-9.8339116e-09,-4.8719802e-09,-2.0393781e-09,-6.367675099999999e-10,-9.282394200000001e-11,3.0300997999999996e-11,1.6234429e-11,1.2669604e-12,7.9445607e-13,1.2809601e-12,1.9743324e-12,3.0007147999999996e-12,4.5069115e-12,6.603217999999999e-12,9.370641900000001e-12,1.3015225e-11,1.8492235e-11,3.0210766999999995e-11,4.1883535e-11,1.9349155e-10,9.3362536e-10,4.1785642e-09,1.9150773e-08,8.833428400000001e-08,4.0810423e-07,1.8858019e-06,8.706560000000001e-06,4.0041971e-05,0.00018114982,0.0007689471499999999,0.0027383513,0.0074180763,0.015620786000000001,0.027498906,0.04291202,0.061648172,0.083498958,0.10827793,0.13582187,0.16598774,0.19864901,0.23369206,0.27101291,0.31051564,0.35211076,0.39571409999999996,0.44124564,0.48862839,0.53778758,0.58864982,0.64114207,0.69519102,0.75072208,0.80765902,0.86592363,0.92543506,218.275,5.656,150.746
-1.465814e-07,-1.2540731e-07,-1.0689634e-07,-9.077242500000001e-08,-7.6778811e-08,-6.4674244e-08,-5.424465799999999e-08,-4.5287644e-08,-3.763656899999999e-08,-3.1125991000000004e-08,-2.5609015e-08,-2.0958291e-08,-1.7055078e-08,-1.3797760999999999e-08,-1.1093506000000001e-08,-8.8608257e-09,-7.0293406e-09,-5.5365583e-09,-4.3280793e-09,-3.3558841e-09,-2.5810235e-09,-1.9667579e-09,-1.4847925e-09,-1.1098314e-09,-8.2088665e-10,-6.0043467e-10,-4.3401837e-10,-3.0979603e-10,-2.1820103e-10,-1.5150402e-10,-1.036161e-10,-6.9732813e-11,-4.6135233e-11,-2.9955369e-11,-1.9070063e-11,-1.2056211999999999e-11,-7.453611e-12,-4.3030421e-12,-2.6533748e-12,-1.4000592e-12,-7.6281451e-13,-4.0188808e-13,-2.0439704e-13,-9.980825599999999e-14,-4.6679453e-14,-2.0477551e-14,-7.991524900000001e-15,-2.1485361e-15,7.0196821e-16,2.4000107e-15,3.9355646999999995e-15,5.9279467e-15,8.8679643e-15,1.3250824e-14,1.9664206999999998e-14,2.886635e-14,4.1834230000000005e-14,5.989121700000001e-14,8.568972099999999e-14,1.2787584999999998e-13,2.2269567e-13,5.3339146e-13,1.8080831000000003e-12,7.4929235e-12,3.3495009e-11,1.5331117e-10,7.066829599999999e-10,3.2644059e-09,1.5040205e-08,6.9647492e-08,3.2231414e-07,1.4904875000000001e-06,6.882502500000001e-06,3.1633053e-05,0.00014271125,0.00060079291,0.0021081563,0.0056377214,0.011801939,0.020754817,0.032427994,0.046685934000000005,0.063386396,0.082398615,0.10360684,0.12690939,0.1522167,0.17944914,0.20853483,0.23940853,0.27200999,0.30628386,0.34217872,0.37964641,0.41864153,0.45912082,0.50104243,0.5443657,0.58905096,0.63505912,0.68235166,0.73089035,228.738,15.95,246.773
